,Unnamed: 0,Name,Age,Overall,Potential,Club,Value,Wage,Acceleration,Aggression,Ball control,Dribbling,Finishing,Shot power,Strength,Sprint speed,Stamina,Preferred Positions,Thou/Mill,Value Int,Wage Int,Preferred Position,age group,class group
11,11,K. De Bruyne,26,89,92,Manchester City,€83M,€285K,76.0,68.0,87.0,85.0,83.0,85.0,73.0,75.0,87.0,RM CM CAM ,Mill,83000000.0,285000.0,RM,24-30,World Class
15,15,G. Bale,27,89,89,Real Madrid CF,€69.5M,€370K,93.0,65.0,87.0,89.0,87.0,91.0,80.0,95.0,76.0,RW ,Mill,69000000.0,370000.0,RW,24-30,World Class
14,14,L. Modrić,31,89,89,Real Madrid CF,€57M,€340K,75.0,62.0,92.0,86.0,71.0,73.0,58.0,71.0,82.0,CDM CM ,Mill,57000000.0,340000.0,CD,30-36,World Class
13,13,A. Sánchez,28,89,89,Arsenal,€67.5M,€265K,88.0,80.0,87.0,90.0,85.0,84.0,72.0,84.0,85.0,RM LW ST LM ,Mill,67000000.0,265000.0,RM,24-30,World Class
16,16,S. Agüero,29,89,89,Manchester City,€66.5M,€325K,90.0,63.0,89.0,89.0,90.0,88.0,74.0,84.0,74.0,ST ,Mill,66000000.0,325000.0,ST,24-30,World Class
19,19,P. Dybala,23,88,93,Juventus,€79M,€215K,88.0,48.0,93.0,92.0,85.0,82.0,65.0,84.0,83.0,ST CAM ,Mill,79000000.0,215000.0,ST,18-24,World Class
21,21,A. Griezmann,26,88,91,Atlético Madrid,€75M,€150K,87.0,69.0,86.0,87.0,88.0,81.0,61.0,86.0,76.0,LW RW ST ,Mill,75000000.0,150000.0,LW,24-30,World Class
22,22,Thiago,26,88,90,FC Bayern Munich,€70.5M,€225K,77.0,57.0,92.0,90.0,69.0,75.0,59.0,68.0,75.0,CDM CAM CM ,Mill,70000000.0,225000.0,CD,24-30,World Class
23,23,P. Aubameyang,28,88,88,Borussia Dortmund,€61M,€165K,95.0,43.0,82.0,82.0,88.0,81.0,77.0,96.0,79.0,ST ,Mill,61000000.0,165000.0,ST,24-30,World Class
31,31,Z. Ibrahimović,35,88,88,Manchester United,€27M,€240K,63.0,84.0,88.0,82.0,87.0,91.0,88.0,67.0,71.0,ST ,Mill,27000000.0,240000.0,ST,30-36,World Class
25,25,J. Boateng,28,88,88,FC Bayern Munich,€48M,€215K,72.0,82.0,71.0,67.0,34.0,79.0,91.0,78.0,74.0,CB ,Mill,48000000.0,215000.0,CB,24-30,World Class
26,26,D. Godín,31,88,88,Atlético Madrid,€40M,€125K,62.0,86.0,76.0,53.0,42.0,67.0,80.0,67.0,67.0,CB ,Mill,40000000.0,125000.0,CB,30-36,World Class
27,27,M. Hummels,28,88,88,FC Bayern Munich,€48M,€215K,62.0,66.0,77.0,68.0,55.0,71.0,85.0,65.0,66.0,CB ,Mill,48000000.0,215000.0,CB,24-30,World Class
24,24,L. Bonucci,30,88,88,Milan,€44M,€210K,62.0,82.0,75.0,69.0,39.0,74.0,85.0,72.0,73.0,CB ,Mill,44000000.0,210000.0,CB,24-30,World Class
30,30,Thiago Silva,32,88,88,Paris Saint-Germain,€34M,€175K,70.0,77.0,80.0,68.0,38.0,74.0,81.0,74.0,74.0,CB ,Mill,34000000.0,175000.0,CB,30-36,World Class
32,32,A. Robben,33,88,88,FC Bayern Munich,€36M,€225K,87.0,47.0,89.0,92.0,85.0,87.0,67.0,86.0,68.0,RW RM ,Mill,36000000.0,225000.0,RW,30-36,World Class
28,28,M. Özil,28,88,88,Arsenal,€60M,€265K,75.0,48.0,90.0,86.0,74.0,70.0,57.0,68.0,69.0,RW CAM ,Mill,60000000.0,265000.0,RW,24-30,World Class
33,33,N. Kanté,26,87,90,Chelsea,€52.5M,€190K,82.0,90.0,79.0,77.0,65.0,72.0,77.0,80.0,94.0,CM CDM ,Mill,52000000.0,190000.0,CM,24-30,World Class
34,34,M. Verratti,24,87,91,Paris Saint-Germain,€64.5M,€130K,69.0,89.0,88.0,90.0,58.0,56.0,56.0,62.0,77.0,CDM CM ,Mill,64000000.0,130000.0,CD,18-24,World Class
35,35,P. Pogba,24,87,92,Manchester United,€66.5M,€195K,72.0,75.0,89.0,86.0,71.0,90.0,91.0,76.0,91.0,CDM CM ,Mill,66000000.0,195000.0,CD,18-24,World Class
36,36,C. Eriksen,25,87,91,Tottenham Hotspur,€65M,€165K,77.0,44.0,87.0,84.0,76.0,80.0,57.0,74.0,90.0,LM RM CAM ,Mill,65000000.0,165000.0,LM,24-30,World Class
37,37,A. Vidal,30,87,87,FC Bayern Munich,€37.5M,€160K,76.0,93.0,83.0,76.0,77.0,86.0,77.0,74.0,91.0,CM CDM ,Mill,37000000.0,160000.0,CM,24-30,World Class
38,38,E. Cavani,30,87,87,Paris Saint-Germain,€48.5M,€160K,75.0,84.0,80.0,80.0,83.0,85.0,74.0,78.0,92.0,ST ,Mill,48000000.0,160000.0,ST,24-30,World Class
40,40,M. Hamšík,29,87,87,Napoli,€48.5M,€130K,72.0,56.0,87.0,86.0,78.0,82.0,69.0,75.0,85.0,CM ,Mill,48000000.0,130000.0,CM,24-30,World Class
41,41,I. Rakitić,29,87,87,FC Barcelona,€48.5M,€275K,67.0,67.0,87.0,84.0,83.0,84.0,63.0,64.0,76.0,CM ,Mill,48000000.0,275000.0,CM,24-30,World Class
42,42,David Silva,31,87,87,Manchester City,€44M,€220K,72.0,51.0,90.0,84.0,71.0,71.0,56.0,65.0,78.0,LM CM CAM ,Mill,44000000.0,220000.0,LM,30-36,World Class
44,44,Piqué,30,87,87,FC Barcelona,€37.5M,€240K,55.0,72.0,78.0,59.0,64.0,62.0,83.0,73.0,66.0,CB ,Mill,37000000.0,240000.0,CB,24-30,World Class
45,45,Iniesta,33,87,87,FC Barcelona,€29.5M,€260K,72.0,58.0,94.0,90.0,70.0,65.0,58.0,71.0,58.0,LM CM ,Mill,29000000.0,260000.0,LM,30-36,World Class
39,39,Marcelo,29,87,87,Real Madrid CF,€38M,€250K,77.0,84.0,88.0,84.0,67.0,83.0,77.0,79.0,81.0,LB ,Mill,38000000.0,250000.0,LB,24-30,World Class
59,59,R. Nainggolan,29,86,86,Roma,€42.5M,€130K,80.0,88.0,85.0,80.0,76.0,84.0,76.0,76.0,94.0,CAM CM ,Mill,42000000.0,130000.0,CA,24-30,World Class
46,46,H. Kane,23,86,90,Tottenham Hotspur,€59M,€165K,68.0,74.0,82.0,78.0,90.0,87.0,86.0,74.0,85.0,ST ,Mill,59000000.0,165000.0,ST,18-24,World Class
57,57,David Luiz,30,86,86,Chelsea,€33M,€190K,68.0,86.0,79.0,66.0,55.0,77.0,81.0,71.0,76.0,CB ,Mill,33000000.0,190000.0,CB,24-30,World Class
56,56,T. Alderweireld,28,86,87,Tottenham Hotspur,€40.5M,€165K,62.0,81.0,70.0,62.0,45.0,86.0,82.0,69.0,76.0,CB ,Mill,40000000.0,165000.0,CB,24-30,World Class
55,55,M. Reus,28,86,86,Borussia Dortmund,€45M,€120K,86.0,49.0,85.0,86.0,86.0,87.0,67.0,90.0,68.0,LW ST LM ,Mill,45000000.0,120000.0,LW,24-30,World Class
54,54,Coutinho,25,86,89,Liverpool,€56M,€205K,88.0,55.0,88.0,88.0,74.0,80.0,61.0,77.0,80.0,CAM LW ,Mill,56000000.0,205000.0,CA,24-30,World Class
53,53,Sergio Busquets,28,86,86,FC Barcelona,€36M,€250K,48.0,85.0,80.0,74.0,60.0,61.0,77.0,34.0,88.0,CM CDM ,Mill,36000000.0,250000.0,CM,24-30,World Class
52,52,T. Müller,27,86,86,FC Bayern Munich,€47.5M,€190K,76.0,57.0,82.0,75.0,87.0,77.0,67.0,78.0,90.0,ST CAM RW CF ,Mill,47000000.0,190000.0,ST,24-30,World Class
51,51,Alex Sandro,26,86,88,Juventus,€44M,€175K,84.0,82.0,81.0,82.0,55.0,80.0,80.0,88.0,93.0,LM LB ,Mill,44000000.0,175000.0,LM,24-30,World Class
50,50,R. Lukaku,24,86,90,Manchester United,€59M,€210K,76.0,72.0,75.0,77.0,89.0,88.0,93.0,89.0,80.0,ST ,Mill,59000000.0,210000.0,ST,18-24,World Class
49,49,D. Alaba,25,86,88,FC Bayern Munich,€44.5M,€150K,86.0,69.0,83.0,79.0,63.0,83.0,69.0,86.0,87.0,CM CB LB ,Mill,44000000.0,150000.0,CM,24-30,World Class
48,48,Isco,25,86,90,Real Madrid CF,€56.5M,€250K,74.0,58.0,91.0,90.0,88.0,72.0,59.0,69.0,71.0,LM RM CAM CM ,Mill,56000000.0,250000.0,LM,24-30,World Class
47,47,J. Rodríguez,25,86,89,FC Bayern Munich,€56M,€250K,77.0,65.0,85.0,83.0,82.0,86.0,70.0,75.0,68.0,RM CM CAM ,Mill,56000000.0,250000.0,RM,24-30,World Class
67,67,Pepe,34,86,86,Beşiktaş JK,€13.5M,€94K,65.0,94.0,62.0,58.0,46.0,63.0,84.0,70.0,62.0,CB ,Mill,13000000.0,94000.0,CB,30-36,World Class
61,61,D. Mertens,30,86,86,Napoli,€43M,€135K,93.0,59.0,88.0,89.0,85.0,80.0,42.0,87.0,75.0,ST LW CF ,Mill,43000000.0,135000.0,ST,24-30,World Class
60,60,Javi Martínez,28,86,86,FC Bayern Munich,€36M,€165K,49.0,91.0,71.0,62.0,53.0,76.0,84.0,50.0,64.0,CDM CB ,Mill,36000000.0,165000.0,CD,24-30,World Class
66,66,F. Ribéry,34,86,86,FC Bayern Munich,€22.5M,€175K,85.0,52.0,90.0,90.0,76.0,76.0,60.0,79.0,64.0,LW LM ,Mill,22000000.0,175000.0,LW,30-36,World Class
65,65,Cesc Fàbregas,30,86,86,Chelsea,€41M,€210K,65.0,45.0,86.0,80.0,76.0,77.0,64.0,62.0,80.0,CAM CDM CM ,Mill,41000000.0,210000.0,CA,24-30,World Class
64,64,K. Benzema,29,86,86,Real Madrid CF,€44.5M,€295K,77.0,65.0,86.0,82.0,87.0,83.0,78.0,78.0,73.0,ST ,Mill,44000000.0,295000.0,ST,24-30,World Class
63,63,Miranda,32,86,86,Inter,€25.5M,€115K,67.0,83.0,72.0,65.0,43.0,70.0,80.0,74.0,65.0,CB ,Mill,25000000.0,115000.0,CB,30-36,World Class
62,62,Sokratis,29,86,86,Borussia Dortmund,€34.5M,€110K,71.0,91.0,58.0,58.0,44.0,79.0,86.0,84.0,74.0,CB ,Mill,34000000.0,110000.0,CB,24-30,World Class
58,58,Diego Costa,28,86,86,Chelsea,€46M,€235K,74.0,93.0,83.0,77.0,88.0,84.0,91.0,75.0,83.0,ST ,Mill,46000000.0,235000.0,ST,24-30,World Class
69,69,Y. Carrasco,23,85,90,Atlético Madrid,€51.5M,€77K,87.0,61.0,86.0,91.0,79.0,84.0,59.0,89.0,73.0,RM LM ,Mill,51000000.0,77000.0,RM,18-24,Pro
91,91,A. Barzagli,36,85,85,Juventus,€5M,€105K,64.0,70.0,65.0,64.0,21.0,54.0,87.0,76.0,46.0,CB ,Mill,5000000.0,105000.0,CB,30-36,Pro
90,90,V. Kompany,31,85,85,Manchester City,€26M,€170K,61.0,87.0,68.0,63.0,45.0,75.0,88.0,64.0,74.0,CB ,Mill,26000000.0,170000.0,CB,30-36,Pro
89,89,Filipe Luís,31,85,85,Atlético Madrid,€25M,€81K,75.0,81.0,81.0,77.0,59.0,71.0,74.0,82.0,91.0,LB ,Mill,25000000.0,81000.0,LB,30-36,Pro
87,87,B. Matuidi,30,85,85,Juventus,€28.5M,€145K,79.0,85.0,77.0,73.0,65.0,74.0,78.0,78.0,94.0,CM CDM ,Mill,28000000.0,145000.0,CM,24-30,Pro
70,70,R. Varane,24,85,92,Real Madrid CF,€46.5M,€175K,77.0,77.0,77.0,57.0,40.0,52.0,85.0,81.0,68.0,CB ,Mill,46000000.0,175000.0,CB,18-24,Pro
75,75,H. Mkhitaryan,28,85,85,Manchester United,€39M,€195K,88.0,69.0,87.0,87.0,77.0,87.0,63.0,84.0,86.0,LM RW RM ,Mill,39000000.0,195000.0,LM,24-30,Pro
85,85,C. Marchisio,31,85,85,Juventus,€33M,€160K,78.0,78.0,85.0,84.0,61.0,82.0,70.0,78.0,81.0,CDM CM ,Mill,33000000.0,160000.0,CD,30-36,Pro
84,84,M. Pjanić,27,85,86,Juventus,€43.5M,€160K,74.0,68.0,89.0,86.0,61.0,78.0,65.0,74.0,78.0,CDM CM ,Mill,43000000.0,160000.0,CD,24-30,Pro
83,83,A. Di María,29,85,85,Paris Saint-Germain,€37.5M,€145K,86.0,73.0,85.0,86.0,74.0,83.0,60.0,86.0,78.0,LW RW ,Mill,37000000.0,145000.0,LW,24-30,Pro
82,82,Azpilicueta,27,85,87,Chelsea,€37.5M,€160K,78.0,80.0,79.0,69.0,46.0,68.0,73.0,79.0,88.0,LB RB CB ,Mill,37000000.0,160000.0,LB,24-30,Pro
81,81,I. Gündoğan,26,85,87,Manchester City,€46M,€190K,73.0,68.0,88.0,87.0,72.0,77.0,74.0,70.0,71.0,CDM CM ,Mill,46000000.0,190000.0,CD,24-30,Pro
80,80,Jordi Alba,28,85,85,FC Barcelona,€30.5M,€215K,93.0,75.0,83.0,80.0,73.0,64.0,60.0,93.0,90.0,LB ,Mill,30000000.0,215000.0,LB,24-30,Pro
79,79,K. Glik,29,85,85,AS Monaco,€30M,€60K,53.0,86.0,59.0,51.0,27.0,57.0,90.0,58.0,72.0,CB ,Mill,30000000.0,60000.0,CB,24-30,Pro
73,73,A. Lacazette,26,85,88,Arsenal,€48.5M,€180K,84.0,70.0,84.0,85.0,87.0,81.0,79.0,87.0,80.0,ST ,Mill,48000000.0,180000.0,ST,24-30,Pro
72,72,L. Insigne,26,85,86,Napoli,€45M,€115K,94.0,34.0,90.0,88.0,73.0,70.0,44.0,86.0,75.0,LW ,Mill,45000000.0,115000.0,LW,24-30,Pro
71,71,Casemiro,25,85,89,Real Madrid CF,€42M,€195K,63.0,87.0,78.0,69.0,59.0,86.0,85.0,61.0,85.0,CDM ,Mill,42000000.0,195000.0,CD,24-30,Pro
86,86,J. Vertonghen,30,85,85,Tottenham Hotspur,€28.5M,€130K,68.0,83.0,74.0,69.0,56.0,86.0,81.0,66.0,79.0,CB ,Mill,28000000.0,130000.0,CB,24-30,Pro
113,113,E. Džeko,31,84,84,Roma,€28M,€115K,67.0,51.0,80.0,76.0,87.0,86.0,82.0,61.0,70.0,ST ,Mill,28000000.0,115000.0,ST,30-36,Pro
115,115,S. Khedira,30,84,84,Juventus,€29M,€160K,60.0,82.0,81.0,78.0,69.0,82.0,89.0,68.0,78.0,CDM CM ,Mill,29000000.0,160000.0,CD,24-30,Pro
114,114,Willian,28,84,84,Chelsea,€31.5M,€200K,91.0,44.0,86.0,87.0,77.0,71.0,62.0,86.0,87.0,CAM RM RW ,Mill,31000000.0,200000.0,CA,24-30,Pro
109,109,Pedro,29,84,84,Chelsea,€30.5M,€200K,84.0,56.0,87.0,84.0,81.0,71.0,56.0,80.0,78.0,LW RW ,Mill,30000000.0,200000.0,LW,24-30,Pro
112,112,I. Perišić,28,84,84,Inter,€31.5M,€110K,81.0,59.0,83.0,83.0,79.0,83.0,75.0,87.0,86.0,CAM LM ,Mill,31000000.0,110000.0,CA,24-30,Pro
119,119,M. Benatia,30,84,84,Juventus,€23M,€145K,72.0,82.0,65.0,64.0,45.0,59.0,89.0,76.0,68.0,CB ,Mill,23000000.0,145000.0,CB,24-30,Pro
118,118,Juan Mata,29,84,84,Manchester United,€30.5M,€195K,71.0,52.0,87.0,82.0,79.0,75.0,43.0,63.0,75.0,RM CAM ,Mill,30000000.0,195000.0,RM,24-30,Pro
126,126,Aduriz,36,84,84,Athletic Club de Bilbao,€11M,€38K,69.0,82.0,80.0,79.0,85.0,83.0,83.0,70.0,64.0,ST ,Mill,11000000.0,38000.0,ST,30-36,Pro
120,120,D. Payet,30,84,84,Olympique de Marseille,€29.5M,€60K,79.0,57.0,90.0,89.0,76.0,78.0,76.0,72.0,73.0,CAM LW ,Mill,29000000.0,60000.0,CA,24-30,Pro
121,121,Falcao,31,84,84,AS Monaco,€28M,€68K,73.0,75.0,82.0,74.0,87.0,79.0,75.0,66.0,68.0,ST ,Mill,28000000.0,68000.0,ST,30-36,Pro
122,122,L. Koscielny,31,84,84,Arsenal,€21M,€150K,74.0,88.0,67.0,62.0,32.0,54.0,76.0,76.0,75.0,CB ,Mill,21000000.0,150000.0,CB,30-36,Pro
123,123,G. Cahill,31,84,84,Chelsea,€21M,€160K,62.0,84.0,63.0,58.0,56.0,63.0,80.0,63.0,69.0,CB ,Mill,21000000.0,160000.0,CB,30-36,Pro
124,124,Dani Alves,34,84,84,Paris Saint-Germain,€9M,€115K,79.0,78.0,86.0,84.0,55.0,86.0,55.0,84.0,76.0,RB ,Mill,9000000.0,115000.0,RB,30-36,Pro
125,125,A. Gómez,29,84,84,Atalanta,€31M,€60K,94.0,56.0,87.0,89.0,78.0,76.0,48.0,86.0,78.0,ST LW CF ,Mill,31000000.0,60000.0,ST,24-30,Pro
111,111,Bruno,33,84,84,Villarreal CF,€18.5M,€59K,42.0,79.0,83.0,75.0,66.0,84.0,77.0,41.0,76.0,CDM CM ,Mill,18000000.0,59000.0,CD,30-36,Pro
95,95,A. Laporte,23,84,89,Athletic Club de Bilbao,€35.5M,€36K,68.0,72.0,71.0,55.0,45.0,70.0,84.0,70.0,71.0,CB ,Mill,35000000.0,36000.0,CB,18-24,Pro
108,108,K. Strootman,27,84,85,Roma,€35M,€105K,65.0,86.0,85.0,76.0,68.0,85.0,83.0,68.0,82.0,CDM CM ,Mill,35000000.0,105000.0,CD,24-30,Pro
99,99,J. Draxler,23,84,87,Paris Saint-Germain,€39.5M,€120K,76.0,48.0,87.0,88.0,78.0,86.0,67.0,79.0,68.0,LM CAM LW ,Mill,39000000.0,120000.0,LM,18-24,Pro
92,92,E. Bailly,23,84,89,Manchester United,€35.5M,€150K,75.0,87.0,68.0,63.0,33.0,55.0,85.0,80.0,78.0,CB ,Mill,35000000.0,150000.0,CB,18-24,Pro
107,107,Ander Herrera,27,84,84,Manchester United,€32M,€190K,76.0,86.0,86.0,81.0,71.0,72.0,70.0,70.0,87.0,CDM CM ,Mill,32000000.0,190000.0,CD,24-30,Pro
94,94,Bernardo Silva,22,84,91,Manchester City,€43.5M,€165K,85.0,58.0,89.0,91.0,76.0,72.0,54.0,78.0,80.0,RM ,Mill,43000000.0,165000.0,RM,18-24,Pro
96,96,D. Alli,21,84,90,Tottenham Hotspur,€43M,€115K,77.0,84.0,85.0,83.0,84.0,77.0,71.0,76.0,89.0,LM CF CAM ,Mill,43000000.0,115000.0,LM,18-24,Pro
97,97,S. Mané,25,84,87,Liverpool,€39M,€175K,94.0,73.0,84.0,86.0,83.0,77.0,72.0,92.0,82.0,LW RW ,Mill,39000000.0,175000.0,LW,24-30,Pro
98,98,Carvajal,25,84,87,Real Madrid CF,€32M,€195K,76.0,81.0,83.0,76.0,41.0,64.0,75.0,86.0,84.0,RB ,Mill,32000000.0,195000.0,RB,24-30,Pro
93,93,Marco Asensio,21,84,92,Real Madrid CF,€46M,€175K,79.0,45.0,86.0,83.0,82.0,84.0,61.0,77.0,73.0,LW LM RM CAM ,Mill,46000000.0,175000.0,LW,18-24,Pro
100,100,M. Icardi,24,84,89,Inter,€42M,€105K,75.0,55.0,77.0,74.0,89.0,81.0,74.0,80.0,70.0,ST ,Mill,42000000.0,105000.0,ST,18-24,Pro
104,104,Koke,25,84,88,Atlético Madrid,€39.5M,€84K,72.0,71.0,86.0,80.0,71.0,84.0,75.0,69.0,81.0,LM RM CM ,Mill,39000000.0,84000.0,LM,24-30,Pro
101,101,Morata,24,84,88,Chelsea,€41M,€170K,78.0,54.0,84.0,83.0,82.0,80.0,82.0,86.0,70.0,ST ,Mill,41000000.0,170000.0,ST,18-24,Pro
105,105,K. Manolas,26,84,86,Roma,€31.5M,€96K,78.0,86.0,65.0,54.0,10.0,43.0,84.0,81.0,78.0,CB ,Mill,31000000.0,96000.0,CB,24-30,Pro
106,106,S. Mustafi,25,84,86,Arsenal,€31.5M,€145K,64.0,79.0,70.0,53.0,58.0,66.0,81.0,69.0,74.0,CB ,Mill,31000000.0,145000.0,CB,24-30,Pro
102,102,K. Koulibaly,26,84,87,Napoli,€32.5M,€96K,69.0,87.0,59.0,54.0,19.0,55.0,93.0,76.0,73.0,CB ,Mill,32000000.0,96000.0,CB,24-30,Pro
127,127,K. Mbappé,18,83,94,Paris Saint-Germain,€41.5M,€31K,89.0,62.0,87.0,86.0,87.0,79.0,74.0,90.0,83.0,ST ,Mill,41000000.0,31000.0,ST,Younger than 18,Pro
172,172,B. Höwedes,29,83,83,Juventus,€20M,€50K,62.0,79.0,68.0,60.0,48.0,62.0,81.0,65.0,68.0,CB ,Mill,20000000.0,50000.0,CB,24-30,Pro
160,160,B. Dost,28,83,83,Sporting CP,€27M,€28K,54.0,72.0,73.0,64.0,87.0,83.0,89.0,64.0,84.0,ST ,Mill,27000000.0,28000.0,ST,24-30,Pro
161,161,K. Walker,27,83,84,Manchester City,€24M,€130K,86.0,78.0,76.0,77.0,51.0,86.0,77.0,93.0,90.0,RWB RB ,Mill,24000000.0,130000.0,RW,24-30,Pro
163,163,S. N'Zonzi,28,83,83,Sevilla FC,€21M,€25K,52.0,87.0,82.0,72.0,64.0,79.0,91.0,61.0,86.0,CM CDM ,Mill,21000000.0,25000.0,CM,24-30,Pro
164,164,M. Musacchio,26,83,86,Milan,€27M,€105K,72.0,81.0,73.0,43.0,48.0,57.0,81.0,69.0,70.0,CB ,Mill,27000000.0,105000.0,CB,24-30,Pro
165,165,O. Toprak,27,83,84,Borussia Dortmund,€24.5M,€66K,72.0,73.0,72.0,64.0,28.0,63.0,78.0,79.0,68.0,CB ,Mill,24000000.0,66000.0,CB,24-30,Pro
166,166,José Callejón,30,83,83,Napoli,€24.5M,€87K,90.0,54.0,84.0,82.0,76.0,78.0,55.0,90.0,92.0,RW ,Mill,24000000.0,87000.0,RW,24-30,Pro
168,168,S. Giovinco,30,83,83,Toronto FC,€25M,€15K,88.0,75.0,87.0,86.0,83.0,79.0,42.0,81.0,77.0,ST CF ,Mill,25000000.0,15000.0,ST,24-30,Pro
169,169,N. Gaitán,29,83,83,Atlético Madrid,€25.5M,€70K,84.0,57.0,84.0,85.0,73.0,72.0,46.0,79.0,69.0,LM ,Mill,25000000.0,70000.0,LM,24-30,Pro
170,170,M. Mandžukić,31,83,83,Juventus,€23.5M,€135K,68.0,88.0,77.0,74.0,84.0,78.0,87.0,76.0,87.0,LM ST ,Mill,23000000.0,135000.0,LM,30-36,Pro
171,171,A. Lallana,29,83,83,Liverpool,€25M,€135K,74.0,74.0,86.0,85.0,79.0,72.0,67.0,72.0,90.0,CM ,Mill,25000000.0,135000.0,CM,24-30,Pro
173,173,E. Banega,29,83,83,Sevilla FC,€25.5M,€27K,71.0,69.0,85.0,83.0,65.0,74.0,67.0,67.0,66.0,CM CAM ,Mill,25000000.0,27000.0,CM,24-30,Pro
158,158,S. Kagawa,28,83,83,Borussia Dortmund,€26M,€75K,76.0,30.0,85.0,87.0,76.0,56.0,39.0,65.0,80.0,CF CAM ,Mill,26000000.0,75000.0,CF,24-30,Pro
176,176,M. Schneiderlin,27,83,85,Everton,€25.5M,€115K,67.0,83.0,84.0,74.0,61.0,71.0,77.0,68.0,89.0,CM CDM ,Mill,25000000.0,115000.0,CM,24-30,Pro
177,177,Jonas,33,83,83,SL Benfica,€16.5M,€21K,66.0,61.0,88.0,84.0,87.0,83.0,63.0,65.0,71.0,CF ST ,Mill,16000000.0,21000.0,CF,30-36,Pro
178,178,K. Gameiro,30,83,83,Atlético Madrid,€25M,€73K,88.0,66.0,80.0,76.0,86.0,84.0,64.0,86.0,76.0,ST ,Mill,25000000.0,73000.0,ST,24-30,Pro
179,179,L. Piszczek,32,83,83,Borussia Dortmund,€14.5M,€66K,73.0,83.0,76.0,74.0,65.0,77.0,79.0,84.0,79.0,CB RB ,Mill,14000000.0,66000.0,CB,30-36,Pro
180,180,E. Garay,30,83,83,Valencia CF,€19M,€40K,39.0,74.0,73.0,62.0,58.0,80.0,85.0,46.0,74.0,CB ,Mill,19000000.0,40000.0,CB,24-30,Pro
181,181,A. Valencia,31,83,83,Manchester United,€17M,€130K,88.0,83.0,81.0,82.0,58.0,85.0,85.0,87.0,90.0,RB ,Mill,17000000.0,130000.0,RB,30-36,Pro
183,183,M. Dembélé,29,83,83,Tottenham Hotspur,€25M,€115K,75.0,74.0,86.0,87.0,66.0,85.0,92.0,77.0,77.0,CDM CM ,Mill,25000000.0,115000.0,CD,24-30,Pro
184,184,Borja Valero,32,83,83,Inter,€20M,€80K,73.0,52.0,88.0,86.0,67.0,72.0,66.0,67.0,74.0,CF CM CAM ,Mill,20000000.0,80000.0,CF,30-36,Pro
185,185,L. Perrin,31,83,83,AS Saint-Étienne,€17.5M,€46K,67.0,81.0,74.0,62.0,64.0,73.0,79.0,69.0,79.0,CB ,Mill,17000000.0,46000.0,CB,30-36,Pro
186,186,L. Biglia,31,83,83,Milan,€17.5M,€105K,70.0,83.0,85.0,77.0,50.0,77.0,70.0,68.0,82.0,CM CDM ,Mill,17000000.0,105000.0,CM,30-36,Pro
187,187,Juanfran,32,83,83,Atlético Madrid,€14.5M,€62K,76.0,78.0,79.0,77.0,54.0,68.0,74.0,87.0,85.0,RB ,Mill,14000000.0,62000.0,RB,30-36,Pro
